username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,geo,urls
GregTaylor100,,Concerned about #ClimateChange? Interested in what Canada's federal political parties have committed to doing? Here's a good chart that provides a breakdown. #cdnpoli pic.twitter.com/6fUN8eaCFl,27,31,4,1168674960799387648,https://twitter.com/GregTaylor100/status/1168674960799387648,2457238273,2019-09-02 23:59:58+00:00,Mon Sep 02 23:59:58 +0000 2019,,#ClimateChange #cdnpoli,,
strathroymom,,Just in case anyone from the gong show govt of #cdnpoli wasnt entirely clear how ppl felt about this matter. #TrudeauMustGo pic.twitter.com/kXWaIVpNeT,0,0,0,1168674932575875072,https://twitter.com/strathroymom/status/1168674932575875072,97709356,2019-09-02 23:59:51+00:00,Mon Sep 02 23:59:51 +0000 2019,,#cdnpoli #TrudeauMustGo,,
hrandbiz,LindaFrum,"It is disgusting #racism. Cdns cannot tolerate this from any quarter. Wake up #corrupt myopic #ISIStravellers are folks, pmjt. Your min @melaniejoly presented Canada's #Holocaust memorial without reference to Jewish people. #cdnpoli #IchooseFreedomOfThePress",0,3,0,1168674857862565888,https://twitter.com/hrandbiz/status/1168674857862565888,205406234,2019-09-02 23:59:33+00:00,Mon Sep 02 23:59:33 +0000 2019,@melaniejoly,#racism #corrupt #ISIStravellers #Holocaust #cdnpoli #IchooseFreedomOfThePress,,
BNederpel,MaximeBernier,"I am deeply concerned about all the people that @MaximeBernier has irresponsibly encouraged to attack @GretaThunberg. What kind of grown man does this, let alone a political leader? #cdnpoli #CyberBullyBernierhttps://twitter.com/MaximeBernier/status/1168581010340089858 …",0,0,1,1168674779139735552,https://twitter.com/BNederpel/status/1168674779139735552,274788820,2019-09-02 23:59:14+00:00,Mon Sep 02 23:59:14 +0000 2019,@MaximeBernier @GretaThunberg,#cdnpoli #CyberBullyBernierhttps,,https://twitter.com/MaximeBernier/status/1168581010340089858
FCBweltmeister,JulieDzerowicz,"@JulieDzerowicz With less than 2 months until the election, this is straight-out bribery. Where was this money on November 4, 2015, the day @JustinTrudeau became PM? #cdnpoli #TrudeauMustGo #TrudeauWorstPM #TrudeauMustResignhttps://twitter.com/JulieDzerowicz/status/1166386688316321793 …",0,0,0,1168674745333821440,https://twitter.com/FCBweltmeister/status/1168674745333821440,64775229,2019-09-02 23:59:06+00:00,Mon Sep 02 23:59:06 +0000 2019,@JulieDzerowicz @JustinTrudeau,#cdnpoli #TrudeauMustGo #TrudeauWorstPM #TrudeauMustResignhttps,,https://twitter.com/JulieDzerowicz/status/1166386688316321793
sylvainfaust,sylvainfaust,#PPC2019 @MaximeBernier @ppopulaireca #CANADA #polcan #cdnpoli #Ottawahttps://twitter.com/sylvainfaust/status/1168674570959773697 …,1,0,0,1168674724936867845,https://twitter.com/sylvainfaust/status/1168674724936867845,1409085349,2019-09-02 23:59:02+00:00,Mon Sep 02 23:59:02 +0000 2019,@MaximeBernier @ppopulaireca,#PPC2019 #CANADA #polcan #cdnpoli #Ottawahttps,,https://twitter.com/sylvainfaust/status/1168674570959773697
Jeff_Wheeldon,,I'm super conscious of how hard we fought to get @ElizabethMay and @MikeSchreiner into debates. I'm ALMOST sympathetic to Max. But I've seen absolutely nothing from his tweets and billboards to suggest that he would debate in good faith/productively. /end #cdnpoli,1,28,2,1168674600844218368,https://twitter.com/Jeff_Wheeldon/status/1168674600844218368,423947024,2019-09-02 23:58:32+00:00,Mon Sep 02 23:58:32 +0000 2019,@ElizabethMay @MikeSchreiner,#cdnpoli,,
Jeff_Wheeldon,MaximeBernier,"A lot has already been said of browbeating a teenage girl on Twitter and how unbecoming that is of someone who aspires to be a leader of our country. So I'll add to it. Something I've noticed about Max, and his followers, is that they have a particular debate style. 1/n #cdnpoli https://twitter.com/MaximeBernier/status/1168578709122629638 …",29,56,5,1168674582674444293,https://twitter.com/Jeff_Wheeldon/status/1168674582674444293,423947024,2019-09-02 23:58:28+00:00,Mon Sep 02 23:58:28 +0000 2019,,#cdnpoli,,https://twitter.com/MaximeBernier/status/1168578709122629638
sylvainfaust,icircpremiere,"N’importe quoi... et le parc Belmont? Votre patrimoine c’est ce que vous détruisez à vous effacer devant l’Islam et ces histoires archaïques que nous nous sommes débarrassés, un pays évolués, LE patrimoine de vos parents, grands-parents et ancêtres... #polqc #assnat #polcan",0,0,0,1168674570959773697,https://twitter.com/sylvainfaust/status/1168674570959773697,1409085349,2019-09-02 23:58:25+00:00,Mon Sep 02 23:58:25 +0000 2019,,#polqc #assnat #polcan,,
SugarmanSharna,Taleeb,You too! Working hard to earn those votes in #VanGran! You got this @Taleeb! Aho! #TeamTaleeb #IStandWithTrudeau #ChooseForward #Housing #jobs #ClimateAction #Indigenous #Immigration #opiatecrisis #Cdnpoli pic.twitter.com/HCw3BuFdH0,6,10,0,1168674570087219200,https://twitter.com/SugarmanSharna/status/1168674570087219200,857057451119591424,2019-09-02 23:58:25+00:00,Mon Sep 02 23:58:25 +0000 2019,@Taleeb,#VanGran #TeamTaleeb #IStandWithTrudeau #ChooseForward #Housing #jobs #ClimateAction #Indigenous #Immigration #opiatecrisis #Cdnpoli,,
