username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,geo,urls
SteveBrownBC,vbspurs,This is a beautiful movie. #cdnpoli #uspolihttps://twitter.com/vbspurs/status/1133080725689913345 …,2,0,0,1133160954558992384,https://twitter.com/SteveBrownBC/status/1133160954558992384,572716982,2019-05-27 23:59:59+00:00,Mon May 27 23:59:59 +0000 2019,,#cdnpoli #uspolihttps,,https://twitter.com/vbspurs/status/1133080725689913345
gr8tlaker,DrBoeing,Would you provide a credible link showing MSM anti-Scheer bias? Thank you! #cdnpoli https://twitter.com/DrBoeing/status/1133160156789989377 …,1,3,1,1133160882505244673,https://twitter.com/gr8tlaker/status/1133160882505244673,245805420,2019-05-27 23:59:42+00:00,Mon May 27 23:59:42 +0000 2019,,#cdnpoli,,https://twitter.com/DrBoeing/status/1133160156789989377
DalphondPierre,,Update C-71: third reading of the bill postponed by conservative whip senator Plett till tomorrow. Another trick to delay and waste tax payers money #cdnpoli #senCA @Docs4GunControl #Polysesouvient,9,25,92,1133160821645877248,https://twitter.com/DalphondPierre/status/1133160821645877248,1044971073542983681,2019-05-27 23:59:27+00:00,Mon May 27 23:59:27 +0000 2019,@Docs4GunControl,#cdnpoli #senCA #Polysesouvient,,
DrJacobsRad,joe_warmington,"I'm with Joe on this one. I routinely mock @cathmckenna without mercy, but fun and foolishness in pubs are off limits. If you can't sound off in a pub anymore, regardless of your political stripe, we may as well pack up the fun and go home. #CdnPoli",0,5,12,1133160764041244672,https://twitter.com/DrJacobsRad/status/1133160764041244672,757300766478663680,2019-05-27 23:59:13+00:00,Mon May 27 23:59:13 +0000 2019,@cathmckenna,#CdnPoli,,
Sendinthewolf,,"Canada is the front line in the fight against surveillance capitalism. @shoshanazuboff basically endorsing @blocksidewalk. She's bang on. Smart cities are about replacing democracy with ""computational rule."" #ETHI #cdnpoli",10,12,2,1133160643710914560,https://twitter.com/Sendinthewolf/status/1133160643710914560,365473506,2019-05-27 23:58:45+00:00,Mon May 27 23:58:45 +0000 2019,@shoshanazuboff @blocksidewalk,#ETHI #cdnpoli,,
OpenCCE,,"""You. Can go onto Ontario Proud or Canada Pro's website + see what ads they're running - tend to gear towards fear or anger, which social media is more conducive to"" - @goldsbie #onpoli #onpoli #cdnpoli #wsic",0,0,0,1133160624530305025,https://twitter.com/OpenCCE/status/1133160624530305025,106790430,2019-05-27 23:58:40+00:00,Mon May 27 23:58:40 +0000 2019,@goldsbie,#onpoli #onpoli #cdnpoli #wsic,,
SenatCA,,Les sénateurs discutent maintenant du projet de loi #C91 à la deuxième lecture au Sénat : https://www.parl.ca/LegisInfo/BillDetails.aspx?billId=10293463&Language=F … #SenCA #polcan pic.twitter.com/oD2EmiC0uR,0,0,0,1133160607400812546,https://twitter.com/SenatCA/status/1133160607400812546,380491526,2019-05-27 23:58:36+00:00,Mon May 27 23:58:36 +0000 2019,,#C91 #SenCA #polcan,,https://www.parl.ca/LegisInfo/BillDetails.aspx?billId=10293463&Language=F
Dave_S001,,"Looks like Quebec wants nothing to do with @AndrewScheer's oil corridor. Legault announces plan to electrify Quebec's economy, reduce oil consumption http://tinyurl.com/y6b4vy7d #cdnpoli #ClimateChange #bcpoli",1,3,0,1133160597657231362,https://twitter.com/Dave_S001/status/1133160597657231362,922221639424544768,2019-05-27 23:58:34+00:00,Mon May 27 23:58:34 +0000 2019,@AndrewScheer,#cdnpoli #ClimateChange #bcpoli,,http://tinyurl.com/y6b4vy7d
SenateCA,,Senators are now discussing Bill #C91 at second reading in the Senate: http://ow.ly/dVpZ50uqxtz #SenCA #cdnpoli pic.twitter.com/wBul93qPSO,3,4,0,1133160560265244672,https://twitter.com/SenateCA/status/1133160560265244672,380489682,2019-05-27 23:58:25+00:00,Mon May 27 23:58:25 +0000 2019,,#C91 #SenCA #cdnpoli,,http://ow.ly/dVpZ50uqxtz
vanvlietdesign,JohnBrassardCPC,Are elected officials actually indemnified from legal charges of deliberate fraud? #ClimateMistress #ClimateScam #cdnpoli #CPC #LPC #PPC #NDP #GPC,4,11,1,1133160528317050881,https://twitter.com/vanvlietdesign/status/1133160528317050881,455102382,2019-05-27 23:58:17+00:00,Mon May 27 23:58:17 +0000 2019,,#ClimateMistress #ClimateScam #cdnpoli #CPC #LPC #PPC #NDP #GPC,,
