username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,geo,urls
CarolDyckGPC,,"As we are about to enter into #elxn43 I feel compelled to share some thoughts. I ran in 2015 & again in the 2018 ON provincial election. In both, I had respectful, friendly interactions w/ the other candidates across the political spectrum. #cdnpoli https://www.cbc.ca/news/politics/election-campaign-trudeau-wednesday-rideau-hall-1.5277765 …",0,3,1,1171492043517882369,https://twitter.com/CarolDyckGPC/status/1171492043517882369,3273042914,2019-09-10 18:34:03+00:00,Tue Sep 10 18:34:03 +0000 2019,,#elxn43 #cdnpoli,,https://www.cbc.ca/news/politics/election-campaign-trudeau-wednesday-rideau-hall-1.5277765
_Acfas,,Les candidat-e-s qui participeront à notre bar des sciences - Élections fédérales 2019 sont maintenant connu-e-s. Consultez notre site Internet afin de découvrir leur profil: http://acfas.ca/evenements/bar-campagne-federale-2019 … Et réservez votre place en ligne: http://eventbrite.ca/e/inscription-bar-des-sciences-campagne-federale-2019-67070508697 … #polcan pic.twitter.com/r0U62dxlcq,8,8,2,1171492031220203521,https://twitter.com/_Acfas/status/1171492031220203521,102794840,2019-09-10 18:34:00+00:00,Tue Sep 10 18:34:00 +0000 2019,,#polcan,,"http://acfas.ca/evenements/bar-campagne-federale-2019,http://eventbrite.ca/e/inscription-bar-des-sciences-campagne-federale-2019-67070508697"
cmaconthehill,,Let the campaigning begin! The Prime Minister is heading to Rideau Hall tomorrow to officially ask the Governor General to dissolve Parliament and launch the country into an election campaign #cdnpoli https://www.680news.com/2019/09/10/trudeau-federal-election-call/ …,1,1,1,1171491978434867200,https://twitter.com/cmaconthehill/status/1171491978434867200,247412653,2019-09-10 18:33:47+00:00,Tue Sep 10 18:33:47 +0000 2019,,#cdnpoli,,https://www.680news.com/2019/09/10/trudeau-federal-election-call/
Tammyocanada,yvonne4tn,Something sure is rotten! #cdnpoli https://twitter.com/yvonne4tn/status/1171440497581182976 …,2,2,0,1171491960906903554,https://twitter.com/Tammyocanada/status/1171491960906903554,754108043974107137,2019-09-10 18:33:43+00:00,Tue Sep 10 18:33:43 +0000 2019,,#cdnpoli,,https://twitter.com/yvonne4tn/status/1171440497581182976
Hadly_,CPC_HQ,"From the side that calls the left snowflakes, I give you, the biggest snowflake of all: The modern conservatives. Triggered over what is very clearly a joke, attempting to stoke outrage where there is none. No plan, no purpose. Just outrage and rich favours. #cdnpoli https://twitter.com/CPC_HQ/status/1171147129013899264 …",0,0,0,1171491914505281536,https://twitter.com/Hadly_/status/1171491914505281536,239096810,2019-09-10 18:33:32+00:00,Tue Sep 10 18:33:32 +0000 2019,,#cdnpoli,,https://twitter.com/CPC_HQ/status/1171147129013899264
CanadaOooh,,"#cdnpoli #canpoli #elxn43 #ChooseForward Anthony Scaramucci may have lasted only six days in the Trump White House, but he speaks with insight in this video ...pic.twitter.com/VvyqBprIya",5,7,0,1171491904472547330,https://twitter.com/CanadaOooh/status/1171491904472547330,999395862328602626,2019-09-10 18:33:29+00:00,Tue Sep 10 18:33:29 +0000 2019,,#cdnpoli #canpoli #elxn43 #ChooseForward,,
chrisoldcorn,,Understanding Your #Conservative #SNOWFLAKE #Family – Christopher Oldcorn #Politics #government #religion #socialism #capitalism #tax #economy #business #Conservatives #FarRight #canada #uk #europe #usa #cdnpoli #polcan #onpoli #uspolitics #ukpoliticshttps://chrisoldcorn.com/2018/12/23/understanding-your-conservative-snowflake-family/?aduc=jsRcLVg1568140403776 …,0,0,0,1171491879717748736,https://twitter.com/chrisoldcorn/status/1171491879717748736,9019142,2019-09-10 18:33:24+00:00,Tue Sep 10 18:33:24 +0000 2019,,#Conservative #SNOWFLAKE #Family #Politics #government #religion #socialism #capitalism #tax #economy #business #Conservatives #FarRight #canada #uk #europe #usa #cdnpoli #polcan #onpoli #uspolitics #ukpoliticshttps,,https://chrisoldcorn.com/2018/12/23/understanding-your-conservative-snowflake-family/?aduc=jsRcLVg1568140403776
lemoine_middle,,#cdnpoli #elxn43 @TorontoStar @SFU #socialmediahttps://www.thestar.com/vancouver/2019/09/04/most-canadians-worry-social-media-will-increase-foreign-interference-in-election-sfu-survey.html …,0,0,0,1171491876400033795,https://twitter.com/lemoine_middle/status/1171491876400033795,3184901956,2019-09-10 18:33:23+00:00,Tue Sep 10 18:33:23 +0000 2019,@TorontoStar @SFU,#cdnpoli #elxn43 #socialmediahttps,,https://www.thestar.com/vancouver/2019/09/04/most-canadians-worry-social-media-will-increase-foreign-interference-in-election-sfu-survey.html
wapimaskwa69,,The NDP attacking the Greens over Elizabeth May's lack of direction on issues. God damn I am going to fucking love this election. #cdnpoli #elxn43,1,6,2,1171491872335777799,https://twitter.com/wapimaskwa69/status/1171491872335777799,257644524,2019-09-10 18:33:22+00:00,Tue Sep 10 18:33:22 +0000 2019,,#cdnpoli #elxn43,,
calmecam,jkenney,"So you are starting yet another Conservative #SnitchLine And just in time for the election. Was #KellieLeitch's Barbaric Cultural Practices Snitch Line your idea, Jason? BTW, what *is* the deal with Conservatives and Snitch Lines? #UCP: #TheBigBrotherParty #CdnPoli",4,7,1,1171491851364229120,https://twitter.com/calmecam/status/1171491851364229120,176548558,2019-09-10 18:33:17+00:00,Tue Sep 10 18:33:17 +0000 2019,,#SnitchLine #KellieLeitch #UCP #TheBigBrotherParty #CdnPoli,,
HCTingling,,"We’re ready! ""This team of candidates is among the most professionally and personally diverse group we've ever put forward"" #TeamScheer #elxn43 https://www.cbc.ca/news/politics/election-campaign-trudeau-wednesday-rideau-hall-1.5277765 …",2,6,0,1171491780128366592,https://twitter.com/HCTingling/status/1171491780128366592,1118937087548456966,2019-09-10 18:33:00+00:00,Tue Sep 10 18:33:00 +0000 2019,,#TeamScheer #elxn43,,https://www.cbc.ca/news/politics/election-campaign-trudeau-wednesday-rideau-hall-1.5277765
EqualVoiceCA,,êtes-vous prêt(e)s? are you ready? #elxn43 #cdnpoli #powerinparity #womeninpoliticspic.twitter.com/fnpF320oY9,0,3,0,1171491751921512448,https://twitter.com/EqualVoiceCA/status/1171491751921512448,116837959,2019-09-10 18:32:53+00:00,Tue Sep 10 18:32:53 +0000 2019,,#elxn43 #cdnpoli #powerinparity #womeninpoliticspic,,
MythsYork,,"""whiteness"", the politics of being ""white"" only invites ignorance, attacks to destroy racial identities only based on skin color, its a hate filled dialogue filled with destruction, bloody murder of racial identity #cdnpoli #canpoli #firstnations #canadavotes #CanadaDebates2019",0,0,0,1171491735341395968,https://twitter.com/MythsYork/status/1171491735341395968,1168576018044596224,2019-09-10 18:32:49+00:00,Tue Sep 10 18:32:49 +0000 2019,,#cdnpoli #canpoli #firstnations #canadavotes #CanadaDebates2019,,
B_Bhullar,,"To all my friends that will be in the trenches for #elxn43, give your family a lot of love and a big hug before you disappear for 41 days. Keep it classy and thank you for your dedication and commitment to democracy! #cdnpoli",0,16,0,1171491733890162688,https://twitter.com/B_Bhullar/status/1171491733890162688,18698209,2019-09-10 18:32:49+00:00,Tue Sep 10 18:32:49 +0000 2019,,#elxn43 #cdnpoli,,
AmRedPilled,,Trudeau NIGHTMARE as Populism SURGES in Canada Ahead of Elections!!! https://youtu.be/6YKSFt7y2vk #TrudeauMustGo #Cdnpoli #elxn43,2,2,0,1171491711429726208,https://twitter.com/AmRedPilled/status/1171491711429726208,1085960750869417984,2019-09-10 18:32:43+00:00,Tue Sep 10 18:32:43 +0000 2019,,#TrudeauMustGo #Cdnpoli #elxn43,,https://youtu.be/6YKSFt7y2vk
ProudCdn4Life,JanetWagner21,I'm squarely middle class so why did I have to pay full pop for tuition? Because I didnt lie on OSAP like every Liberal does!!! Liberals definition of middle class is really the poor. They are taxing the middle class to death!!! #onpoli #cdnpoli Keep drinking the Liberal koolaid,0,0,0,1171491694618918913,https://twitter.com/ProudCdn4Life/status/1171491694618918913,626897884,2019-09-10 18:32:39+00:00,Tue Sep 10 18:32:39 +0000 2019,,#onpoli #cdnpoli,,
TheRealADM,,"VIEWER COMMENT: ""Fiction Burns"" on why the @peoplespca is NOT splitting the @CPC_HQ vote + why Canadian absolutely MUST vote with their conscience, not as part of some grand political realpolitik: https://youtu.be/DNmZtdIHPe8 Brilliantly played! #LetMaxSpeak #FortEtLibre #CDNPoli",10,7,1,1171491693247352832,https://twitter.com/TheRealADM/status/1171491693247352832,11789752,2019-09-10 18:32:39+00:00,Tue Sep 10 18:32:39 +0000 2019,@peoplespca @CPC_HQ,#LetMaxSpeak #FortEtLibre #CDNPoli,,https://youtu.be/DNmZtdIHPe8
Canadabuster,,Waiting for Trudeau to campaign while being the most unethical prime minister in Canadian history and people actually believing him #cdnpoli pic.twitter.com/fGNwiYAe2E,4,7,0,1171491683587854336,https://twitter.com/Canadabuster/status/1171491683587854336,1271102306,2019-09-10 18:32:37+00:00,Tue Sep 10 18:32:37 +0000 2019,,#cdnpoli,,
psacnat,,The writ is about to drop. Canadians will have a choice to make & Canada's unions believe we need to elect candidates who will stand up for a #fairCanadaforeveryone. Join @CanadianLabour at http://faircanadaforeveryone.ca/ #cdnpoli #elxn43 #canlab,14,25,6,1171491679854972928,https://twitter.com/psacnat/status/1171491679854972928,87193615,2019-09-10 18:32:36+00:00,Tue Sep 10 18:32:36 +0000 2019,@CanadianLabour,#fairCanadaforeveryone #cdnpoli #elxn43 #canlab,,http://faircanadaforeveryone.ca/
tasjini,RedEdison,"Left right and all around. Some of us are very concerned about the upcoming election in Canada. Would love to know the people who are your most go-to positive, hopeful, policy-oriented, honest politicians and commentators. Credentials and location don’t matter. #cdnpoli https://twitter.com/RedEdison/status/1171490422645899266 …",0,2,0,1171491668631015425,https://twitter.com/tasjini/status/1171491668631015425,923922631505711105,2019-09-10 18:32:33+00:00,Tue Sep 10 18:32:33 +0000 2019,,#cdnpoli,,https://twitter.com/RedEdison/status/1171490422645899266
JamesofAlberta,,What's worse? A politician lying to Canadians about the level of their upbringing or people calling out that lie with a VERY petty hashtag? Both are bad but I think a public servant lying is worse. #cdnpoli #elxn43,0,0,0,1171491656228466688,https://twitter.com/JamesofAlberta/status/1171491656228466688,1168947737255190528,2019-09-10 18:32:30+00:00,Tue Sep 10 18:32:30 +0000 2019,,#cdnpoli #elxn43,,
davidstoreytv,globalnews,Prime Minister Justin Trudeau is expected to ask for parliament to be dissolved Wednesday — launching the federal election campaign via @globalnews #elxn43 #cdnpoli https://trib.al/7Jx9q8e https://twitter.com/globalnews/status/1171475079697354753 …,0,1,0,1171491608782503938,https://twitter.com/davidstoreytv/status/1171491608782503938,138470177,2019-09-10 18:32:19+00:00,Tue Sep 10 18:32:19 +0000 2019,@globalnews,#elxn43 #cdnpoli,,"https://trib.al/7Jx9q8e,https://twitter.com/globalnews/status/1171475079697354753"
primeNPU,,#Canada election campaign to launch tomorrow for Oct. 21 vote #Election2019 #elxn43 pic.twitter.com/o1maujdFXL,0,0,0,1171491604588187648,https://twitter.com/primeNPU/status/1171491604588187648,296045141,2019-09-10 18:32:18+00:00,Tue Sep 10 18:32:18 +0000 2019,,#Canada #Election2019 #elxn43,,
dadof1plus2,AndrewScheer,"No, trust me, they're mocking YOU. For LYING about growing up ""poor"". #cdnpoli #dumbasshttps://twitter.com/AndrewScheer/status/1171148435933863937 …",0,0,0,1171491548740997126,https://twitter.com/dadof1plus2/status/1171491548740997126,35364907,2019-09-10 18:32:05+00:00,Tue Sep 10 18:32:05 +0000 2019,,#cdnpoli #dumbasshttps,,https://twitter.com/AndrewScheer/status/1171148435933863937
senatorbrazeau,,"The election will likely be called tomorrow and seeing today is #WorldSuicidePreventionDay, I have written to all political parties requesting their solutions and platforms regarding #SuicidePrevention. More to come! #cdnpoli",2,5,0,1171491520886669315,https://twitter.com/senatorbrazeau/status/1171491520886669315,3001554169,2019-09-10 18:31:58+00:00,Tue Sep 10 18:31:58 +0000 2019,,#WorldSuicidePreventionDay #SuicidePrevention #cdnpoli,,
MotherofaSon,,Wish I could be there! #politicalAF #cdnpoli https://twitter.com/madamepremier/status/1171482398074126337 …pic.twitter.com/6rVKwQTOco,1,3,0,1171491516751024130,https://twitter.com/MotherofaSon/status/1171491516751024130,223169186,2019-09-10 18:31:57+00:00,Tue Sep 10 18:31:57 +0000 2019,,#politicalAF #cdnpoli,,https://twitter.com/madamepremier/status/1171482398074126337
Learning2GetBy,,Trudeau’s Child Benefit Is Helping Drive Poverty to New Lows #cdnpoli #elxn43 https://www.bloomberg.com/news/articles/2019-02-26/trudeau-s-child-benefit-is-helping-drive-poverty-to-new-lows …,1,1,0,1171491501060190216,https://twitter.com/Learning2GetBy/status/1171491501060190216,4499430739,2019-09-10 18:31:53+00:00,Tue Sep 10 18:31:53 +0000 2019,,#cdnpoli #elxn43,,https://www.bloomberg.com/news/articles/2019-02-26/trudeau-s-child-benefit-is-helping-drive-poverty-to-new-lows
JGregoryP,Westministre,#cdnpoli https://twitter.com/Westministre/status/1171489327387267073 …,0,0,0,1171491474321526791,https://twitter.com/JGregoryP/status/1171491474321526791,826308717524103169,2019-09-10 18:31:47+00:00,Tue Sep 10 18:31:47 +0000 2019,,#cdnpoli,,https://twitter.com/Westministre/status/1171489327387267073
PastaGabe,,#RealChange had an ambitious platform in 2015. Getting traction on 72% of the platform in addition this government had deal with #Trump renegotiating #NAFTA among other things. We need to #ChooseForward to maintain that strong vision. #cdnpoli #elxn43 https://trudeaumetre.polimeter.org/,0,0,0,1171491405635604485,https://twitter.com/PastaGabe/status/1171491405635604485,2419657050,2019-09-10 18:31:31+00:00,Tue Sep 10 18:31:31 +0000 2019,,#RealChange #Trump #NAFTA #ChooseForward #cdnpoli #elxn43,,https://trudeaumetre.polimeter.org/
MelissaLantsman,MercedesGlobal,"Get your party hats! After the fancy ceremonial shots no one understands, watch for all four major parties to set the tone and narrative out of the gate. Tomorrow you’ll see big rallies in target regions with the elevator pitch of what they want you to hear. #cdnpoli #elxn43 https://twitter.com/MercedesGlobal/status/1171473810995810306 …",0,11,0,1171491391035211778,https://twitter.com/MelissaLantsman/status/1171491391035211778,210149871,2019-09-10 18:31:27+00:00,Tue Sep 10 18:31:27 +0000 2019,,#cdnpoli #elxn43,,https://twitter.com/MercedesGlobal/status/1171473810995810306
Tammyocanada,rachel_garniss,#ScheerWasSoPoor #cdnpoli https://twitter.com/rachel_garniss/status/1171178461521690624 …,1,2,0,1171491345979981826,https://twitter.com/Tammyocanada/status/1171491345979981826,754108043974107137,2019-09-10 18:31:16+00:00,Tue Sep 10 18:31:16 +0000 2019,,#ScheerWasSoPoor #cdnpoli,,https://twitter.com/rachel_garniss/status/1171178461521690624
