username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,geo,urls
retail_recruit,InlawsOutlaws,#cdnpoli https://twitter.com/InlawsOutlaws/status/1157770858724618240 …,0,0,0,1157803329478676481,https://twitter.com/retail_recruit/status/1157803329478676481,39512124,2019-08-03 23:59:59+00:00,Sat Aug 03 23:59:59 +0000 2019,,#cdnpoli,,https://twitter.com/InlawsOutlaws/status/1157770858724618240
aseip1,TrishPalmerYVR,One would think this how the system works. Everyone except the #Cons. #cdnpoli,2,13,0,1157803253863714816,https://twitter.com/aseip1/status/1157803253863714816,314201526,2019-08-03 23:59:41+00:00,Sat Aug 03 23:59:41 +0000 2019,,#Cons #cdnpoli,,
Coltaine777,SGirardau,I hear that sister.. #Canada #TrudeauMustGo #corruption #carbontaxscam #cdnpoli #LavScam #admiralNORMAN #incompetent #ibelievejody,0,0,0,1157803197035163655,https://twitter.com/Coltaine777/status/1157803197035163655,260265236,2019-08-03 23:59:27+00:00,Sat Aug 03 23:59:27 +0000 2019,,#Canada #TrudeauMustGo #corruption #carbontaxscam #cdnpoli #LavScam #admiralNORMAN #incompetent #ibelievejody,,
r_stonge,,"Après avoir mordu la poussière et s'être fait battre 2 fois dans son comté, Gilles Duceppe va prêter main forte au #Bloc ... Faut vraiment que Blanchet soit rendu désespéré! #polCAN #PQ #BQ →http://bit.ly/3396McD",15,45,18,1157803169344348160,https://twitter.com/r_stonge/status/1157803169344348160,101383455,2019-08-03 23:59:21+00:00,Sat Aug 03 23:59:21 +0000 2019,,#Bloc #polCAN #PQ #BQ,,http://bit.ly/3396McD
AdamskiPeter,RosieEmery,"""I want to make it clear. ... I think I would make a great prime minister. I'm more than prepared to do the job. I have a lot of experience."" ~ @ElizabethMay #cdnpoli https://twitter.com/RosieEmery/status/1157370638153240576 …",0,2,3,1157803120904118273,https://twitter.com/AdamskiPeter/status/1157803120904118273,449849480,2019-08-03 23:59:09+00:00,Sat Aug 03 23:59:09 +0000 2019,@ElizabethMay,#cdnpoli,,https://twitter.com/RosieEmery/status/1157370638153240576
belley121,,https://nowtoronto.com/news/koch-brothers-go-deep-in-alberta-tar-sands/#.XUUO0-y_-l8.facebook … These guys heve Kkkanadas big 3 parties by the short hairs! #cdnpoli. #bcpoli,0,0,0,1157803106828075009,https://twitter.com/belley121/status/1157803106828075009,1477696962,2019-08-03 23:59:06+00:00,Sat Aug 03 23:59:06 +0000 2019,,# #cdnpoli #bcpoli,,https://nowtoronto.com/news/koch-brothers-go-deep-in-alberta-tar-sands/#.XUUO0-y_-l8.facebook
yannickdonahue,,"Gilles Duceppe prêtera main forte au Bloc, s’il le demande http://bit.ly/33dWic7 #polcan #cdnpoli @GillesDuceppe",0,0,0,1157802693987053569,https://twitter.com/yannickdonahue/status/1157802693987053569,267801028,2019-08-03 23:57:27+00:00,Sat Aug 03 23:57:27 +0000 2019,@GillesDuceppe,#polcan #cdnpoli,,http://bit.ly/33dWic7
dgeorge7007,YyzkevinBull,"Most of the items on this list are the collective efforts of decades across multiple gov'ts, both Liberal and Conservatives. To say Justin Trudeau is responsible for this entire list is a pure joke. #cdnpoli",2,20,0,1157802639179968513,https://twitter.com/dgeorge7007/status/1157802639179968513,55940314,2019-08-03 23:57:14+00:00,Sat Aug 03 23:57:14 +0000 2019,,#cdnpoli,,
jdw_mr,cathmckenna,And anyone who can think for themselves can find thousands of articles from actual climate scientists that say what you are doing is alarmist in nature and scaring children to extract tax from their parents FOR WHAT? what is the tax doing? this is a scam wake up people #cdnpoli,0,0,0,1157802484393549825,https://twitter.com/jdw_mr/status/1157802484393549825,1097296526483718144,2019-08-03 23:56:37+00:00,Sat Aug 03 23:56:37 +0000 2019,,#cdnpoli,,
samknowsnow,nimmity_anna,#cdnpoli,0,1,0,1157802483428798465,https://twitter.com/samknowsnow/status/1157802483428798465,911645287,2019-08-03 23:56:37+00:00,Sat Aug 03 23:56:37 +0000 2019,,#cdnpoli,,
